insensé;8;adj
imaginer;8;ver
habituer;8;ver
fleur;8;nom
flanc;8;nom
fischhausen;8;nr
fantastique;8;adj
expliquer;8;ver
excellent;8;adj
entier;8;adj
découvrir;8;ver
courir;8;ver
courant;8;nom
corps;8;nom
convenir;8;ver
contrée;8;nom
colossal;8;adj
clarté;8;nom
charme;8;nom
centre;8;nom
campagne;8;nom
but;8;nom
boréal;8;adj
beauté;8;nom
apercevoir;8;ver
amour;8;nom
aiguille;8;nom
agréable;8;adj
action;8;nom
éprouver;7;ver
élevé;7;adj
élever;7;ver
âme;7;nom
voler;7;ver
vert;7;adj
vent;7;nom
valoir;7;ver
valeur;7;nom
utile;7;adj
trésor;7;nom
torrent;7;nom
supposer;7;ver
station;7;nom
silence;7;nom
sauvage;7;adj
révéler;7;ver
route;7;nom
rompre;7;ver
rejoindre;7;ver
rapide;7;adj
raisonnement;7;nom
péril;7;nom
pénible;7;adj
puissance;7;nom
profond;7;adj
positif;7;adj
plutôt;7;adv
plein;7;adj
planète;7;nom
phénomène;7;nom
pays;7;nom
objet;7;nom
nécessaire;7;adj
nuage;7;nom
moquer;7;ver
merveille;7;nom
matière;7;nom
mariage;7;nom
manquer;7;ver
malheureux;7;adj
léger;7;adj
lieue;7;nom
joie;7;nom
jeune;7;adj
interroger;7;ver
hâter;7;ver
hauteur;7;nom
guère;7;adv
gouvernante;7;nom
glacier;7;nom
genre;7;nom
garder;7;ver
front;7;nom
forêt;7;nom
fièvre;7;nom
fixer;7;ver
fatigue;7;nom
famille;7;nom
excavation;7;nom
espace;7;nom
engager;7;ver
enchanté;7;adj
désirer;7;ver
dépit;7;nom
défendre;7;ver
disposer;7;ver
curieux;7;adj
couvrir;7;ver
courage;7;nom
consentir;7;ver
confus;7;adj
commerce;7;nom
commencer;7;ver
climat;7;nom
choisir;7;ver
calme;7;nom
briller;7;ver
bois;7;nom
bloc;7;nom
bizarre;7;adj
bas;7;adj
avancer;7;ver
aspect;7;nom
ardent;7;adj
année;7;nom
amuser;7;ver
amitié;7;nom
admirable;7;adj
abattre;7;ver
étudier;6;ver
épaule;6;nom
énorme;6;adj
électrique;6;adj
égard;6;nom
écorce;6;nom
voûte;6;nom
volonté;6;nom
ville;6;nom
unique;6;adj
transparent;6;adj
tranquillement;6;adv
tranquille;6;adj
tapisser;6;ver
séparer;6;ver
surprise;6;nom
suite;6;nom
substance;6;nom
stupide;6;adj
splendeur;6;nom
